hex,count_good_aircraft,count_bad_aircraft
8409acdffffffff,33,0
8409127ffffffff,34,0
8409121ffffffff,16,16
842743dffffffff,0,4
8427423ffffffff,0,19
8427435ffffffff,0,51
8443a11ffffffff,0,15
8443a19ffffffff,0,8
8443a3bffffffff,0,52
8443a15ffffffff,0,19
84c2edbffffffff,8,22
84c2ed1ffffffff,11,15
84c2eddffffffff,27,24
8441b5bffffffff,11,0
84274d7ffffffff,14,1
842a927ffffffff,3,1
8427527ffffffff,163,20
8468511ffffffff,55,1
846851dffffffff,22,0
842c01bffffffff,21,28
842c013ffffffff,18,20
848d855ffffffff,16,0
848d843ffffffff,19,31
8465247ffffffff,14,0
8465261ffffffff,32,0
8428de9ffffffff,0,39
84a8101ffffffff,50,18
84a8103ffffffff,30,29
84a8129ffffffff,10,0
84a812dffffffff,45,0
84a8a53ffffffff,44,0
84a8a57ffffffff,18,4
84a82c5ffffffff,3,4
84a82e9ffffffff,19,16
84a82edffffffff,35,0
84a8233ffffffff,2,0
84a8aa3ffffffff,70,2
84a8aabffffffff,64,16
84a8a85ffffffff,31,0
84a88cdffffffff,6,2
84a88c9ffffffff,0,9
84a8107ffffffff,67,7
84a812bffffffff,46,3
84a8123ffffffff,13,14
8481301ffffffff,5,0
8481309ffffffff,40,0
8481343ffffffff,35,8
848134bffffffff,28,5
842e059ffffffff,16,1
842e237ffffffff,12,16
842e04bffffffff,0,36
842e041ffffffff,0,36
842e045ffffffff,0,4
84122abffffffff,15,12
8412287ffffffff,27,0
84122b9ffffffff,17,0
84651cbffffffff,22,0
84651c9ffffffff,37,6
8465027ffffffff,24,1
84651cdffffffff,12,25
846511bffffffff,37,18
841aa55ffffffff,0,50
8431823ffffffff,38,2
843183dffffffff,5,0
8431835ffffffff,25,0
8431839ffffffff,14,0
843183bffffffff,34,0
8431817ffffffff,39,0
8431813ffffffff,55,12
84318c5ffffffff,0,12
844cd43ffffffff,27,0
844cd41ffffffff,36,24
844cd4dffffffff,0,34
844b121ffffffff,38,5
844b12dffffffff,16,0
8430f5dffffffff,0,8
8430f43ffffffff,0,30
842e4dbffffffff,5,16
843d8cbffffffff,0,1
842e4d3ffffffff,0,8
84678b5ffffffff,0,3
84128e9ffffffff,0,24
84128ebffffffff,4,33
841288dffffffff,11,27
8412881ffffffff,11,11
8441607ffffffff,32,36
8441601ffffffff,33,2
844160bffffffff,30,0
8441655ffffffff,36,0
8465b2bffffffff,58,3
8465b21ffffffff,0,53
842c0e9ffffffff,0,4
8441321ffffffff,12,5
844132bffffffff,12,23
8441307ffffffff,0,15
8418cb7ffffffff,1,0
843564bffffffff,35,0
8435641ffffffff,38,0
8434139ffffffff,4,23
8435647ffffffff,4,0
8435645ffffffff,29,0
