hex,count_good_aircraft,count_bad_aircraft
8444a99ffffffff,549,0
8444a9bffffffff,450,16
84441a5ffffffff,612,43
84441a7ffffffff,669,0
84441a1ffffffff,505,62
8444ec9ffffffff,37,0
8444ecdffffffff,50,0
8444ec5ffffffff,313,0
8444eebffffffff,394,0
8444ee9ffffffff,66,0
8444ee1ffffffff,410,14
8426db1ffffffff,152,0
8426db9ffffffff,186,0
8426dbbffffffff,246,0
8426d95ffffffff,168,0
8426d97ffffffff,393,0
8426d91ffffffff,82,0
8426d93ffffffff,193,0
8448c09ffffffff,456,0
8448c0bffffffff,49,0
8448c55ffffffff,161,0
8448c57ffffffff,179,0
8448c53ffffffff,228,0
8448f37ffffffff,537,0
8448f33ffffffff,513,0
8426f45ffffffff,76,0
8426f09ffffffff,95,0
8426f0bffffffff,103,0
8444dc1ffffffff,290,0
8444dc7ffffffff,193,0
8444507ffffffff,167,0
844453dffffffff,170,0
8444523ffffffff,75,0
8444abbffffffff,361,0
8444ab9ffffffff,325,0
8444a8dffffffff,854,21
842aa19ffffffff,181,0
842a125ffffffff,240,0
842a127ffffffff,391,0
842a121ffffffff,412,0
842a123ffffffff,357,0
8426427ffffffff,18,0
842651bffffffff,29,0
8426513ffffffff,60,0
8426517ffffffff,198,0
84265edffffffff,131,0
8448de3ffffffff,160,0
8448d8dffffffff,214,0
8448d89ffffffff,376,0
8448dd5ffffffff,67,0
8426cb9ffffffff,999,7
842b505ffffffff,28,0
842b50dffffffff,6,0
842b509ffffffff,21,0
842b543ffffffff,17,0
842b54bffffffff,8,0
842aaedffffffff,450,0
842aac5ffffffff,714,0
842aacdffffffff,718,11
84129b9ffffffff,6,0
84129bdffffffff,28,0
8412987ffffffff,29,0
8412985ffffffff,30,1
84445b3ffffffff,200,0
842659bffffffff,265,0
8426617ffffffff,204,0
8426613ffffffff,237,0
842661bffffffff,559,22
842a923ffffffff,101,0
8448d33ffffffff,146,0
8448d35ffffffff,172,0
8448d23ffffffff,168,0
8448d21ffffffff,115,0
8426ad1ffffffff,37,0
8426ad9ffffffff,35,0
8426137ffffffff,36,0
8426131ffffffff,106,0
84264a5ffffffff,183,0
84264adffffffff,105,0
842aa33ffffffff,229,0
842a859ffffffff,160,0
8444a11ffffffff,1518,37
8444a17ffffffff,197,0
8444a13ffffffff,838,32
8426699ffffffff,31,0
8426691ffffffff,118,0
8426695ffffffff,106,0
8429b63ffffffff,52,0
8429b05ffffffff,231,0
8429b07ffffffff,116,0
8429b39ffffffff,156,0
8444409ffffffff,393,0
844440bffffffff,280,0
8444455ffffffff,384,0
8444451ffffffff,290,0
8444459ffffffff,260,0
84276adffffffff,119,0
84276a5ffffffff,74,0
84276a7ffffffff,93,0
84274cdffffffff,218,0
84274c1ffffffff,117,0
842a98dffffffff,83,0
842a9e3ffffffff,174,0
842a9e7ffffffff,151,0
842a9e5ffffffff,166,0
84266dbffffffff,107,0
844cd5dffffffff,19,0
844cd43ffffffff,74,0
844cd41ffffffff,62,24
844cd45ffffffff,29,0
8444a89ffffffff,55,0
8426d51ffffffff,46,0
8426d53ffffffff,67,0
8448c8bffffffff,87,0
8448c81ffffffff,61,4
8448c87ffffffff,50,0
8448cbdffffffff,24,0
8448ca3ffffffff,6,0
8426017ffffffff,95,0
8426015ffffffff,238,0
8426039ffffffff,117,0
8426007ffffffff,25,0
842602bffffffff,10,0
842b8b9ffffffff,190,0
8426d49ffffffff,29,0
8426f35ffffffff,80,0
8426f3dffffffff,107,0
8426f39ffffffff,135,0
8428a45ffffffff,106,0
8428a41ffffffff,62,0
8428a49ffffffff,33,0
8428a4bffffffff,31,0
84298b5ffffffff,44,0
8448d49ffffffff,87,0
8448f23ffffffff,44,0
8448f35ffffffff,144,0
8448f31ffffffff,84,14
84458a5ffffffff,11,0
84458adffffffff,27,0
84459dbffffffff,35,0
84459d9ffffffff,28,9
8445837ffffffff,11,0
84445b7ffffffff,150,0
84445b1ffffffff,347,0
84445bbffffffff,243,0
8444595ffffffff,108,0
8444591ffffffff,51,0
8448d2dffffffff,142,0
8426da5ffffffff,310,0
8426da1ffffffff,81,0
8444ecbffffffff,236,0
8444537ffffffff,123,0
8444531ffffffff,159,0
844453bffffffff,55,0
8448e93ffffffff,444,106
8429b4dffffffff,142,0
842a897ffffffff,656,12
842ad6dffffffff,241,0
842a8b3ffffffff,142,0
8444dbdffffffff,233,0
842aac9ffffffff,693,0
8426537ffffffff,170,63
8426533ffffffff,579,98
842653bffffffff,179,16
8426511ffffffff,87,0
8444db5ffffffff,230,0
842a8a3ffffffff,243,0
8444f47ffffffff,239,0
8444f0dffffffff,447,0
8444f01ffffffff,446,12
8444f03ffffffff,312,0
8448ea9ffffffff,76,0
8448ea1ffffffff,36,0
8448eadffffffff,261,0
8448c51ffffffff,73,0
8426611ffffffff,477,0
8426615ffffffff,54,0
842663bffffffff,214,0
8444533ffffffff,1,0
8444ec3ffffffff,292,0
8444ec1ffffffff,109,0
8444ec7ffffffff,445,0
8429b65ffffffff,164,0
8448cd9ffffffff,181,0
842986dffffffff,208,0
8429b33ffffffff,62,0
8429b31ffffffff,102,0
8429b37ffffffff,5,0
8429b35ffffffff,122,0
842aaabffffffff,590,0
842aa87ffffffff,711,9
842a33dffffffff,123,0
842a339ffffffff,689,1
842a303ffffffff,610,0
842a31dffffffff,201,0
842a30bffffffff,125,0
842a357ffffffff,75,0
842a351ffffffff,30,0
8426ee5ffffffff,178,0
8426543ffffffff,163,0
842654bffffffff,33,0
8426735ffffffff,98,0
8426731ffffffff,82,0
842673dffffffff,131,0
8426739ffffffff,94,0
842aae1ffffffff,305,0
842aae5ffffffff,106,0
8426835ffffffff,75,0
8426823ffffffff,130,0
8426827ffffffff,45,0
8426825ffffffff,15,0
842980bffffffff,65,0
8429809ffffffff,93,0
842980dffffffff,26,0
